标题,作者,播放量,时长,BV号,链接,封面URL,上传时间,弹幕数,点赞数
坎特蕾拉：让我消除你的疲劳吧,Light小俊,285045,1:12,BV1N2e8zAEBv,https://www.bilibili.com/video/BV1N2e8zAEBv,//i0.hdslb.com/bfs/archive/d5d0f79b7a3dd7c4d80ab5cc6ea0fb3775307a2e.jpg,1755921600,301,18913
《鸣潮》角色和武器装备拆解,远茜游戏策划运营求职,12888,,,https://www.bilibili.com/video/,https://archive.biliimg.com/bfs/archive/7c6b66c78ccb8092ce1ed849729eeb46b5120be7.jpg,0,0,0
【鸣潮】原野骑士 限时活动 全试用角色 作业参考(持续更新ing),CarlTuring,941,131:5,BV1AvDsBPEFP,https://www.bilibili.com/video/BV1AvDsBPEFP,//i1.hdslb.com/bfs/archive/60990337d195aedbd55c8f023ac3c9d6314bce88.jpg,1775715417,0,23
人物解析：西格莉卡是个什么样的人？自信还是自卑？鸣潮3.2剧情解析,MM莫小可,738,8:37,BV15xXPBiEBW,https://www.bilibili.com/video/BV15xXPBiEBW,//i2.hdslb.com/bfs/archive/4ab57cf34c0449a3e38ea32acbf6ca4762311e18.jpg,1774605600,0,18
鸣潮角色也太美了,武僧艾琳d,1,0:28,BV1ThdtBwEZn,https://www.bilibili.com/video/BV1ThdtBwEZn,//i0.hdslb.com/bfs/archive/5088de2fde5c8c7dd7f259323a01a13561d4180e.jpg,1776287782,0,0
鸣潮角色也太美了,emdq368663,0,0:28,BV1JqQJBnEdt,https://www.bilibili.com/video/BV1JqQJBnEdt,//i2.hdslb.com/bfs/archive/fdcba528f05e053634b80f591691619729bc423f.jpg,1776269769,0,0
鸣潮角色也太棒了,剑士乔治b,0,0:28,BV1GVQHByE6Y,https://www.bilibili.com/video/BV1GVQHByE6Y,//i0.hdslb.com/bfs/archive/bfa507ecb05597c568d8771141465855b59a161f.jpg,1776287408,0,0
鸣潮角色也太棒了,灵弓之梓弓蜂6b,0,0:28,BV1UfQJBNE9w,https://www.bilibili.com/video/BV1UfQJBNE9w,//i0.hdslb.com/bfs/archive/9fb5b84f87fa1aadd87540ec9fb7ed8b2121d21c.jpg,1776267086,0,0
鸣潮角色太棒了,海鳝猪笼草11b,0,0:28,BV1GVQHByES3,https://www.bilibili.com/video/BV1GVQHByES3,//i2.hdslb.com/bfs/archive/6a95ffde2714feb7b77cb4e79b6a4f6e6b6acd52.jpg,1776287408,0,0
鸣潮角色太棒了,毒针针刺c,0,0:28,BV1DdQJBTE4T,https://www.bilibili.com/video/BV1DdQJBTE4T,//i2.hdslb.com/bfs/archive/628916c1536588225682b52e163396cde5d54830.jpg,1776266765,0,0
